Pair,Form,ItemID,ReviewerCommentSummary,Decision,OriginalWording,RevisedWording,Rationale,Date
1,A,pre_signal_frequency,,,,,,
1,B,post_signal_frequency,,,,,,
2,A,pre_signal_amplitude,,,,,,
2,B,post_signal_amplitude,,,,,,
3,A,pre_sampling_nyquist,,,,,,
3,B,post_sampling_nyquist,,,,,,
4,A,pre_sampling_alias_frequency,,,,,,
4,B,post_sampling_alias_frequency,,,,,,
5,A,pre_sampling_below_nyquist,,,,,,
5,B,post_sampling_above_nyquist,,,,,,
6,A,pre_convolution_length,,,,,,
6,B,post_convolution_length,,,,,,
7,A,pre_convolution_meaning,,,,,,
7,B,post_convolution_meaning,,,,,,
8,A,pre_dft_bin_spacing,,,,,,
8,B,post_dft_bin_spacing,,,,,,
9,A,pre_dft_resolution,,,,,,
9,B,post_dft_resolution,,,,,,
10,A,pre_dft_leakage,,,,,,
10,B,post_dft_leakage,,,,,,
11,A,pre_fir_passband,,,,,,
11,B,post_fir_passband,,,,,,
12,A,pre_fir_length,,,,,,
12,B,post_fir_length,,,,,,
