Week,Date,Topic,Group,PlannedActivity,DeliveredAsPlanned,ApproxStudentsPresent,TechnicalIssue,ScheduleDeviation,ContaminationObserved,ExtraInstructorSupport,ActionTaken,ResearcherInitials
1,,Discrete-time signals,Experimental,DSP-Lab Lab 01,,,,,,,,
1,,Discrete-time signals,Control,Conventional Review 01,,,,,,,,
2,,Sampling and aliasing,Experimental,DSP-Lab Lab 02,,,,,,,,
2,,Sampling and aliasing,Control,Conventional Review 02,,,,,,,,
3,,Discrete convolution,Experimental,DSP-Lab Lab 03,,,,,,,,
3,,Discrete convolution,Control,Conventional Review 03,,,,,,,,
4,,DFT and spectrum,Experimental,DSP-Lab Lab 04,,,,,,,,
4,,DFT and spectrum,Control,Conventional Review 04,,,,,,,,
5,,FIR filtering,Experimental,DSP-Lab Lab 05,,,,,,,,
5,,FIR filtering,Control,Conventional Review 05,,,,,,,,
